,good_loan
54956,1
112490,1
29558,1
63413,1
62068,1
50487,1
70239,1
92326,1
108614,1
23096,1
30138,1
88535,1
63522,1
92076,1
99768,1
21448,1
107415,1
62927,1
94274,1
64255,1
21890,1
55835,1
70930,1
96664,1
61155,1
46990,1
20874,1
4465,1
94316,1
79371,1
77989,1
87348,1
117433,1
28546,1
56776,1
50561,1
677,1
16024,1
119687,1
116867,1
114510,1
16326,1
60092,1
106838,1
82813,1
76478,1
48192,1
22335,1
20352,1
101482,1
51257,1
108208,1
38601,1
13620,1
71181,1
91152,1
56019,1
91525,1
27126,1
15404,1
21624,1
72737,1
44438,1
9114,1
37891,1
38823,1
16233,1
49699,1
60265,1
27591,1
102825,1
97448,1
112083,1
89562,1
70612,1
64651,1
1079,1
84503,1
93579,1
70111,1
24127,1
58236,1
3131,1
85410,1
36278,1
48551,1
46956,1
106161,1
108787,1
59727,1
90129,1
6301,1
89736,1
106609,1
8387,1
59073,1
10495,1
36300,1
37210,1
49270,1
65046,1
29224,1
79537,1
51610,1
77583,1
114500,1
60899,1
73602,1
101100,1
70280,1
103727,1
12348,1
44035,1
62554,1
11092,1
8564,1
40989,1
43612,1
46090,1
23514,1
48800,1
80347,1
8775,1
59021,1
91815,1
91598,1
103388,1
14085,1
54448,1
7527,1
95984,1
88646,1
71060,1
64685,1
103003,1
37140,1
36426,1
81238,1
70051,1
61505,1
89339,1
18946,1
11630,1
85081,1
81175,1
45273,1
28951,1
112552,1
109831,1
8244,1
46683,1
82267,1
97587,1
110591,1
83627,1
98112,1
113008,1
608,1
107988,1
84590,1
55644,1
50674,1
77337,1
65801,1
66274,1
6884,1
102727,1
64149,1
46291,1
19460,1
69591,1
71975,1
91833,1
28156,1
23195,1
45255,1
81610,1
46765,1
28963,1
28017,1
60087,1
33087,1
118918,1
109863,1
71840,1
77928,1
41517,1
17534,1
108349,1
96200,1
38696,1
100383,1
96860,1
117832,1
56115,1
33075,1
63190,1
73213,1
73374,1
113865,1
30645,1
32160,1
22870,1
110004,1
9288,1
81497,1
37202,1
95678,1
74195,1
97649,1
1365,1
10500,1
103871,1
31925,1
118067,1
97675,1
116086,1
116333,1
86187,1
72662,1
82953,1
82593,1
40321,1
103189,1
57133,1
101516,1
103210,1
6820,1
106307,1
62356,1
42375,1
24812,1
48154,1
52952,1
97060,1
45218,1
19259,1
119195,1
80912,1
16696,1
95172,1
3098,1
60654,1
119854,1
59480,1
71095,1
106815,1
75812,1
48476,1
71082,1
94741,1
67339,1
50140,1
26841,1
110366,1
107044,1
46961,1
57039,1
8942,1
20030,1
86599,1
25847,1
14129,1
43187,1
70613,1
37050,1
59738,1
13624,1
82189,1
45431,1
51362,1
32418,1
3036,1
115821,1
46275,1
39259,1
82700,1
5522,1
5286,1
58068,1
100903,1
84081,1
83519,1
93630,1
90864,1
87150,1
81348,1
44260,1
20373,1
115562,1
48039,1
52978,1
47602,1
99431,1
45519,1
56424,1
39178,1
83609,1
32508,1
118459,1
36474,1
26487,1
63278,1
46437,1
91533,1
600,1
87165,1
41253,1
44956,1
24048,1
116169,1
74365,1
99209,1
1519,1
66061,1
67314,1
59865,1
70167,1
64341,1
54326,1
23882,1
19933,1
52221,1
23323,1
3945,1
94350,1
117483,1
87458,1
54692,1
117001,1
2798,1
32278,1
119164,1
65570,1
38641,1
8863,1
117876,1
79574,1
79847,1
57601,1
110763,1
65895,1
5374,1
63291,1
78563,1
93774,1
8078,1
17460,1
34845,1
56151,1
46789,1
90179,1
35722,1
22117,1
60324,1
100795,1
13906,1
90431,1
68114,1
54555,1
9514,1
29283,1
10299,1
16050,1
41305,1
76141,1
72295,1
53937,1
112131,1
56757,1
14619,1
90321,1
52965,1
63509,1
117449,1
67510,1
97298,1
52091,1
92840,1
57308,1
71999,1
104170,1
